id;descripcion;provincia_id
339;BARRIO EL COYUNCO;2
340;BARRIO LA GLORIA;2
341;BARRIO SANTA  PAULA;2
342;BATAN;2
343;CHAPADMALAL;2
344;EL MARQUESADO;2
345;ESTACION CHAPADMALAL;2
346;MAR DEL PLATA;2
347;SIERRA DE LOS PADRES;2
348;LAGUNA DE LOS PADRES;2
349;BARRIO RUTA 24 KILOMETRO 10;2
350;C.C. BOSQUE REAL;2
351;GENERAL RODRIGUEZ;2
352;BAIGORRITA;2
353;LA DELFINA;2
354;LOS TOLDOS;2
355;SAN EMILIO;2
356;ZAVALIA;2
357;CHANCAY;2
358;QUIRNO COSTA;2
359;BANDERALO;2
360;CA¥ADA SECA;2
361;CORONEL CHARLONE;2
362;EMILIO V. BUNGE;2
363;MASSEY;2
364;PICHINCHA;2
365;PIEDRITAS;2
366;SANTA ELEODORA;2
367;SANTA REGINA;2
368;VILLA SABOYA;2
369;VILLA SAUZE;2
370;MOORES;2
371;GONDRA;2
372;EL DIA;2
373;LOS LAURELES;2
374;DRABBLE;2
375;VOLTA;2
376;ARROYO VENADO;2
377;CASBAS;2
378;GARRE;2
379;GUAMINI;2
380;LAGUNA ALSINA;2
381;ALAMOS;2
382;LA NEVADA;2
383;SAN FERMIN;2
384;SATURNO;2
385;VICTORINO DE LA PLAZA;2
386;HENDERSON;2
387;HERRERA VEGAS;2
388;MARIA LUCILA;2
389;CORACEROS;2
390;HURLINGHAM;2
391;ITUZAINGO CENTRO;2
392;JOSE C. PAZ;2
393;AGUSTIN ROCA;2
394;AGUSTINA;2
395;BALNEARIO LAGUNA DE GOMEZ;2
396;FORTIN TIBURCIO;2
397;JUNIN;2
398;LAPLACETTE;2
399;MORSE;2
400;SAFORCADA;2
401;BLANDENGUES;2
402;LA ORIENTAL;2
403;LAS TONINAS;2
404;SAN CLEMENTE DEL TUYU;2
405;COUNTRY CLUB EL RODEO;2
406;IGNACIO CORREAS;2
407;LA PLATA;2
408;LOMAS DE COPELLO;2
409;POBLET;2
410;ESQUINA NEGRA;2
411;LAPRIDA;2
412;PUEBLO NUEVO;2
413;PUEBLO SAN JORGE;2
414;SANTA ELENA;2
415;LAS HERMANAS;2
416;VOLUNTAD;2
417;CORONEL BOERR;2
418;EL TRIGO;2
419;LAS FLORES;2
420;PARDO;2
421;DOCTOR DOMINGO HAROSTEGUY;2
422;ESTRUGAMOU;2
423;ROSAS;2
424;PLAZA MONTERO;2
425;VILELA;2
426;ALBERDI VIEJO;2
427;EL DORADO;2
428;FORTIN ACHA;2
429;JUAN BAUTISTA ALBERDI;2
430;LEANDRO N. ALEM;2
431;VEDIA;2
432;LA COLONIA;2
433;TRIGALES;2
434;ARENAZA;2
435;BAYAUCA;2
436;BERMUDEZ;2
437;CARLOS SALAS;2
438;CORONEL MARTINEZ DE HOZ;2
439;EL TRIUNFO;2
440;LAS TOSCAS;2
441;LINCOLN;2
442;PASTEUR;2
443;ROBERTS;2
444;BALSA;2
445;TRIUNVIRATO;2
446;ARENAS VERDES;2
447;LICENCIADO MATIENZO;2
448;LOBERIA;2
449;PIERES;2
450;SAN MANUEL;2
451;TAMANGUEYU;2
452;DOS NACIONES;2
453;EL LENGUARAZ;2
454;EL MORO;2
455;LAS NUTRIAS;2
456;ANTONIO CARBONI;2
457;ELVIRA;2
458;LAGUNA DE LOBOS;2
459;LOBOS;2
460;SALVADOR MARIA;2
461;LAS CHACRAS;2
462;ZAPIOLA;2
463;JOSE SANTOS AREVALO;2
464;CUARTEL VI;2
465;LOMAS DE ZAMORA;2
466;TEMPERLEY;2
467;TURDERA;2
468;BARRIO LAS CASUARINAS;2
469;CARLOS KEEN;2
470;CORTINES;2
471;JOSE MARIA JAUREGUI;2
472;LEZICA Y TORREZURI;2
473;LUJAN;2
474;OLIVERA;2
475;OPEN DOOR;2
476;TORRES;2
477;SUCRE;2
478;SAN ELADIO;2
479;ALASTUEY;2
480;ATALAYA;2
481;LOS NARANJOS;2
482;MAGDALENA;2
483;ROBERTO J. PAYRO;2
484;VIEYTES;2
485;JOSE FERRARI;2
486;VERGARA;2
487;LAS ARMAS;2
488;MAIPU;2
489;SANTO DOMINGO;2
490;MONSALVO;2
491;SEGUROLA;2
492;VILLA DE MAYO;2
493;INGENIERO ADOLFO SOURDEAUX;2
494;CORONEL VIDAL;2
495;GENERAL PIRAN;2
496;LA ARMONIA;2
497;MAR CHIQUITA;2
498;MAR DE COBO;2
499;SANTA CLARA DEL MAR;2
500;VIVORATA;2
501;SANTA ELENA;2
502;CALFUCURA;2
503;NAHUEL RUCA;2
504;BARRIO SANTA ROSA;2
505;MARCOS PAZ;2
506;GOWLAND;2
507;MERCEDES;2
508;TOMAS JOFRE;2
509;AGOTE;2
510;GOLDNEY;2
511;SAN JACINTO;2
512;LA VERDE;2
513;MERLO;2
514;ABBOTT;2
515;ZENON VIDELA DORNA;2
516;GOYENECHE;2
517;BALNEARIO SAUCE GRANDE;2
518;MONTE HERMOSO;2
519;MORENO;2
520;MORON;2
521;JOSE JUAN ALMEYRA;2
522;LAS MARIANAS;2
523;NAVARRO;2
524;SOL DE MAYO;2
525;GONZALEZ RISOS;2
526;ANASAGASTI;2
527;KILOMETRO 83;2
528;LA BLANQUEADA;2
529;CLARAZ;2
530;COSTA BONITA;2
531;JUAN N. FERNANDEZ;2
532;RAMON SANTAMARINA;2
533;ENERGIA;2
534;LA NEGRA;2
535;LUMB;2
536;SAN JOSE (VILLA DIEGO);2
537;ALFREDO DEMARCHI;2
538;CARLOS MARIA NAON;2
539;12 DE OCTUBRE;2
540;DUDIGNAC;2
541;LA AURORA;2
542;MANUEL B. GONNET;2
543;MARCELINO UGARTE;2
544;MOREA;2
545;NORUMBEGA;2
546;9 DE JULIO;2
547;PATRICIOS;2
548;VILLA GENERAL FOURNIER;2
549;BACACAY;2
550;CAMBACERES;2
551;EL JABALI;2
552;EL TEJAR;2
553;GERENTE CILLEY;2
554;MULCAHY;2
555;CORBETT;2
556;GALO LLORENTE;2
557;SANTOS UNZUE;2
558;BLANCAGRANDE;2
559;COLONIA HINOJO;2
560;COLONIA NIEVAS;2
561;COLONIA SAN MIGUEL;2
562;ESPIGAS;2
563;HINOJO;2
564;OLAVARRIA;2
565;RECALDE;2
566;SANTA LUISA;2
567;SIERRA CHICA;2
568;SIERRAS BAYAS;2
569;VILLA ALFREDO FORTABAT;2
570;VILLA LA SERRANIA;2
571;CERRO SOTUYO;2
572;POURTALE;2
573;SAN QUILCO;2
574;ITURREGUI;2
575;VILLA MONICA;2
576;SAN JACINTO;2
577;CALERA AVELLANEDA;2
578;LA PROVIDENCIA;2
579;MAPIS;2
580;ROCHA;2
581;BAHIA SAN BLAS;2
582;CARDENAL CAGLIERO;2
583;CARMEN DE PATAGONES;2
584;JOSE B. CASAS;2
585;JUAN A. PRADERE;2
586;STROEDER;2
587;VILLALONGA;2
588;EMILIO LAMARCA;2
589;IGARZABAL;2
590;CAPITAN CASTRO;2
591;CHICLANA;2
592;FRANCISCO MADERO;2
593;JUAN JOSE PASO;2
594;MAGDALA;2
595;MONES CAZON;2
596;NUEVA PLATA;2
597;PEHUAJO;2
598;EL RECADO;2
599;INOCENCIO SOSA;2
600;PEDRO GAMEN;2
601;ASTURIAS;2
602;GNECCO;2
603;LAS JUANITAS;2
604;BOCAYUVA;2
605;DE BARY;2
606;PELLEGRINI;2
607;ACEVEDO;2
608;FONTEZUELA;2
609;GUERRICO;2
610;JUAN A. DE LA  PE¥A;2
611;JUAN ANCHORENA;2
612;LA VIOLETA;2
613;MANUEL OCAMPO;2
614;MARIANO BENITEZ;2
615;MARIANO H.  ALFONZO;2
616;PERGAMINO;2
617;PINZON;2
618;RANCAGUA;2
619;VILLA ANGELICA;2
620;VILLA SAN JOSE;2
621;FRANCISCO AYERZA;2
622;TAMBO NUEVO;2
623;CAMPO BUENA VISTA;2
624;GORNATTI;2
625;LA VANGUARDIA;2
626;ORTIZ BASUALDO;2
627;CASALINS;2
628;PILA;2
629;REAL AUDIENCIA;2
630;LA VICTORIA;2
631;BARRIO PARQUE ALMIRANTE IRIZAR;2
632;CLUB DE CAMPO LARENA - LOS QUINCHOS;2
633;PILAR;2
634;MANZANARES;2
635;PINAMAR;2
636;AZOPARDO;2
637;BORDENAVE;2
638;DARREGUEIRA;2
639;17 DE AGOSTO;2
640;ESTELA;2
641;FELIPE SOLA;2
642;LOPEZ LECUBE;2
643;PUAN;2
644;SAN GERMAN;2
645;VILLA CASTELAR;2
646;VILLA IRIS;2
647;RIVADEO;2
648;GENERAL RONDEAU;2
649;TRES CUERVOS;2
650;ALVAREZ JONTE;2
651;LAS TAHONAS;2
652;PIPINAS;2
653;PUNTA INDIO;2
654;VERONICA;2
655;MONTE VELOZ;2
656;EL PARAISO;2
657;LAS BAHAMAS;2
658;PEREZ MILLAN;2
659;RAMALLO;2
660;VILLA GENERAL SAVIO;2
661;VILLA RAMALLO;2
662;RAUCH;2
663;CHAPALEOFU;2
664;MARTIN COLMAN;2
665;MIRANDA;2
666;AMERICA;2
667;FORTIN OLAVARRIA;2
668;GONZALEZ MORENO;2
669;MIRA PAMPA;2
670;ROOSEVELT;2
671;SAN MAURICIO;2
672;SANSINENA;2
673;SUNDBLAD;2
674;CONDARCO;2
675;VALENTIN GOMEZ;2
676;CERRITO;2
677;VILLA SENA;2
678;LA BEBA;2
679;LAS CARABELAS;2
680;LOS INDIOS;2
681;RAFAEL OBLIGADO;2
682;ROBERTO CANO;2
683;ROJAS;2
684;VILLA MANUEL POMAR;2
685;VILLA PARQUE CECIR;2
686;HUNTER;2
687;CARLOS BEGUERIE;2
688;ROQUE PEREZ;2
689;JUAN ATUCHA;2
690;LA REFORMA;2
691;JUAN TRONCONI;2
692;LA PAZ CHICA;2
693;SANTIAGO LARRE;2
694;ARROYO CORTO;2
695;COLONIA SAN MARTIN;2
696;DUFAUR;2
697;ESPARTILLAR (E);2
698;GOYENA;2
699;PIGUE;2
700;SAAVEDRA;2
701;ALVAREZ DE TOLEDO;2
702;BLAQUIER;2
703;CAZON;2
704;DEL CARRIL;2
705;POLVAREDAS;2
706;SALADILLO;2
707;SAN BENITO;2
708;EL MANGRULLO;2
709;LA CAMPANA;2
710;EMILIANO REYNOSO;2
711;LA BARRANCOSA;2
712;LA MARGARITA;2
713;ARROYO DULCE;2
714;BERDIER;2
715;GAHAN;2
716;INES INDART;2
717;LA INVENCIBLE;2
718;SALTO;2
719;TACUARI;2
720;MONROE;2
721;QUENUMA;2
722;SALLIQUELO;2
723;AZCUENAGA;2
724;FRANKLIN;2
725;SAN ANDRES DE GILES;2
726;SOLIS;2
727;VILLA ESPIL;2
728;VILLA RUIZ;2
729;TUYUTI;2
730;HEAVY;2
731;VILLA SAN ALBERTO;2
732;DUGGAN;2
733;SAN ANTONIO DE ARECO;2
734;VILLA LIA;2
735;VAGUES;2
736;BALNEARIO SAN CAYETANO;2
737;OCHANDIO;2
738;SAN CAYETANO;2
739;CRISTIANO MUERTO;2
740;SAN FERNANDO;2
741;ISLA MARTIN GARCIA;2
742;ARROYO BORCHES;2
743;ARROYO DURAZNO;2
744;CARUPA;2
745;PARANA MINI;2
746;RIO CARABELAS;2
747;SAN ISIDRO;2
748;BECCAR;2
749;SAN MIGUEL;2
750;CONESA;2
751;EREZCANO;2
752;GENERAL ROJO;2
753;LA EMILIA;2
754;SAN NICOLAS DE LOS ARROYOS;2
755;VILLA ESPERANZA;2
756;GOBERNADOR CASTRO;2
757;OBLIGADO;2
758;PUEBLO DOYLE;2
759;RIO TALA;2
760;SAN PEDRO;2
761;SANTA LUCIA;2
762;EL DESCANSO;2
763;EL ESPINILLO;2
764;LAS CANALETAS;2
765;LA MATILDE;2
766;DOMSELAAR;2
767;SAN VICENTE;2
768;GENERAL RIVAS;2
769;SUIPACHA;2
770;DE LA CANAL;2
771;GARDEY;2
772;MARIA IGNACIA;2
773;TANDIL;2
774;FULTON;2
775;IRAOLA;2
776;LA PASTORA;2
777;CROTTO;2
778;TAPALQUE;2
779;VELLOSO;2
780;EUFEMIO UBALLES;2
781;ALTONA;2
782;YERBAS;2
783;COVELLO;2
784;SAN BERNARDO;2
785;TIGRE;2
786;TRES BOCAS;2
787;GENERAL CONESA;2
788;VILLA ROCH;2
789;CHASICO;2
790;SALDUNGARAY;2
791;SIERRA DE LA VENTANA;2
792;TORNQUIST;2
793;TRES PICOS;2
794;VILLA SERRANA LA GRUTA;2
795;VILLA VENTANA;2
796;NUEVA ROMA;2
797;ESTOMBA;2
798;PELICURA;2
799;BERRAONDO;2
800;BERUTTI;2
801;GIRODIAS;2
802;LA CARRETA;2
803;30 DE AGOSTO;2
804;TRENQUE LAUQUEN;2
805;TRONGE;2
806;FRANCISCO DE VITORIA;2
807;LERTORA;2
808;DUHAU;2
809;MARI LAUQUEN;2
810;PRIMERA JUNTA;2
811;CORAZZI;2
